"name","latitude","longitude","grantee","grantNumber","delegateNo","centerType","programType","programDelegateName","programMainPhoneNumber","programAddress","programCity","programState","programZipCode","phone","address","city","state","zip","id"
"Center for New Communities Family Learning Center @ SSFC","29.369202853981506","-98.55213969577028","Center for New Communities
1313 Guadalupe St
Ste 200
San Antonio, TX 78207-5555
(210)314-3200
","06CH7186","200","Early Head Start","Early Head Start","Center for New Communities","","1313 Guadalupe St Ste 200","San Antonio","TX","78207-5555","(210) 314-3200","2483 W Southcross Blvd","San Antonio","TX","78211-1868","52376"
"Fuller Center","33.91507203383307","-98.48074796508178","North Texas Parent & Child Development, Inc
500 Flood Street
Wichita Falls, TX 76301-2838
(940)687-5437
","06CH7190","200","Early Head Start","Early Head Start","North Texas Parent & Child Development, Inc","","500 Flood Street ","Wichita Falls","TX","76301-2838","(940) 687-0885","500 Flood St","Wichita Falls","TX","76301-2838","49751"
"Baptist Temple Church - Partnership","29.400876","-98.4562712","Parent Child Incorporated
1223 Brady Boulevard
San Antonio, TX 78207-7328
(210)475-5006
","06HP0001","200","Early Head Start","Early Head Start","Parent Child Incorporated","","1223 Brady Boulevard ","San Antonio","TX","78207-7328","","901 E Drexel Ave","San Antonio","TX","78210-3105","54804"
"Granbury EHS","32.441107","-97.805041","CDI HS/North Texas, TX
548 Santa Fe Dr
Weatherford, TX 76086-6503
(682)253-4230
","90CH010440","200","Early Head Start","Early Head Start","CDI HS/North Texas, TX","","548 Santa Fe Dr ","Weatherford","TX","76086-6503","(817) 579-7965","111 Stone St","Granbury","TX","76048-1831","85605"
"Cotulla Center","28.4274034","-99.2279709","Kids Are First, Inc
2208 N 1st St
Carrizo Springs, TX 78834-2036
(830)876-9265
","06CH9980","200","Early Head Start","Early Head Start","Kids Are First, Inc","","2208 N 1st St ","Carrizo Springs","TX","78834-2036","(830) 879-4524","908 Martinez","Cotulla","TX","78014-2722","58966"
"Liberty EHS CCP","30.072096","-94.787922","Motivation Education & Training, Inc.
22551 Gene Campbell Blvd
New Caney, TX 77357-
(281)689-5544 - 223
","06HP0016","200","Early Head Start","Early Head Start","Motivation Education & Training, Inc.","","22551 Gene Campbell Blvd ","New Caney","TX","77357","(936) 336-7900","2606 Holly St","Liberty","TX","77575-4323","82119"
"Little Explorers Child Care Center 2","26.16963","-98.126268","The University of Texas - Rio Grande Valley
1201 W University Dr
Edcc 2.504
Edinburg, TX 78539-2909
(956)665-3891
","06HP0020","200","Early Head Start","Early Head Start","The University of Texas - Rio Grande Valley","","1201 W University Dr Edcc 2.504","Edinburg","TX","78539-2909","(956) 702-2273","935 S Alamo Rd","Alamo","TX","78516-9312","85505"
"Early Head Start/Head Start @ Buckeye Trail Commons","32.7365403","-96.7538554","HEADSTART OF GREATER DALLAS INC
3954 Gannon Lane
Dallas, TX 75237-2919
(972)283-6400
","06CH7106","200","Early Head Start","Early Head Start","HEADSTART OF GREATER DALLAS INC","","3954 Gannon Lane ","Dallas","TX","75237-2919","(469) 917-9100","6717 Bexar St","Dallas","TX","75215-5406","82894"
"Navigation Pointe","27.771767","-97.45471099999997","NUECES COUNTY COMMUNITY ACTION AGENCY
101 South Padre Island Drive
Corpus Christi, TX 78405-4102
(361)883-7201
","06CH7090","200","Early Head Start","Early Head Start","NUECES COUNTY COMMUNITY ACTION AGENCY","","101 South Padre Island Drive ","Corpus Christi","TX","78405-4102","(361) 289-0916","901 S Navigation Blvd","Corpus Christi","TX","78405-4002","34729"
"Zapata Head Start/Early Head Start Center","26.8962003","-99.26322419999997","TEXAS MIGRANT COUNCIL
5215 McPherson Rd
Laredo, TX 78041-7326
(956)487-2600
","06CH7181","200","Early Head Start","Early Head Start","TEXAS MIGRANT COUNCIL","","5215 McPherson Rd ","Laredo","TX","78041-7326","(956) 765-9731","146 1st Ave","Zapata","TX","78076-3271","52862"
"Center for New Communities Family Learning Center @ Central Office","29.4188066","-98.51508160000003","Center for New Communities
1313 Guadalupe St
Ste 200
San Antonio, TX 78207-5555
(210)314-3200
","06CH7186","200","Early Head Start","Early Head Start","Center for New Communities","","1313 Guadalupe St Ste 200","San Antonio","TX","78207-5555","(210) 314-3200","1313 Guadalupe St
Ste 200","San Antonio","TX","78207-5555","52377"
"George Family Development Center EHS/HS","29.578291","-95.761109","NEIGHBORHOOD CENTERS, INC.
4500 Bissonnet St Ste 200
Bellaire, TX 77401-3113
(713)273-3211
","06CH10136","200","Early Head Start","Early Head Start","NEIGHBORHOOD CENTERS, INC.","","4500 Bissonnet St Ste 200 ","Bellaire","TX","77401-3113","(832) 759-5222","500 Austin St","Richmond","TX","77469-4408","81200"
"ChildCare Network #170","32.7933595","-96.9588607","CHILDCAREGROUP
1420 W MOCKINGBIRD LANE
SUITE 300
DALLAS, TX 75247-4973
(214)630-7911
","06HP0007","200","Early Head Start","Early Head Start","CHILDCAREGROUP","","1420 W MOCKINGBIRD LANE SUITE 300","DALLAS","TX","75247-4973","(972) 790-2225","2020 S MacArthur Blvd","Irving","TX","75060-6601","55174"
"Marlin Early Head Start","31.3062264","-96.89938010000003","ECONOMIC OPPORTUNITIES ADVANCEMENT CORP OF PLNG REG XI
500 Franklin Avenue
Waco, TX 76701-2111
(254)753-0331 - 205
","06CH7109","200","Early Head Start","Early Head Start","ECONOMIC OPPORTUNITIES ADVANCEMENT CORP OF PLNG REG XI","","500 Franklin Avenue ","Waco","TX","76701-2111","(254) 803-9905","107 S State Highway 6","Marlin","TX","76661-3500","41825"
"Harlingen Head Start/Early Head Start","26.1863951","-97.70436189999998","NEIGHBORS IN NEED OF SERVICES, INC
402 West Robertson
San Benito, TX 78586-0047
(956)399-9944 - 305
","06CH7170","200","Early Head Start","Early Head Start","NEIGHBORS IN NEED OF SERVICES, INC","","402 West Robertson ","San Benito","TX","78586-0047","(956) 412-7012","829 W Filmore Ave","Harlingen","TX","78550-6225","53878"
"Creative Connections EHS","29.677188","-95.5712499","Neighborhood Centers Inc.
4500 Bissonnet Suite 200
Bellaire, TX 77401-3113
(713)273-3211
","06HP0015","200","Early Head Start","Early Head Start","Neighborhood Centers Inc.","","4500 Bissonnet Suite 200 ","Bellaire","TX","77401-3113","(281) 568-1121","9302 Wilcrest Dr","Houston","TX","77099-2129","80640"
"Nacogdoches Head Start","31.6217024","-94.66491050000002","Greater East Texas Community Action Program
1902 Old Tyler Rd
Nacogdoches, TX 75964-3246
(936)564-1142
","06CH010287","200","Early Head Start","Early Head Start","Greater East Texas Community Action Program","","1902 Old Tyler Rd ","Nacogdoches","TX","75964-3246","(936) 462-8411","1902 Old Tyler Rd
P.O. Drawer 631938","Nacogdoches","TX","75964-3246","81598"
"Lumin Bachman Lake Community School-main","32.856431","-96.868668","Lumin Education
924 Wayne Street
Dallas, TX 75223-
(214)351-6700 - 3030
","06CH7185","200","Early Head Start","Early Head Start","Lumin Education","","924 Wayne Street ","Dallas","TX","75223","(214) 351-6700","9507 Overlake Dr","Dallas","TX","75220-5925","51389"
"Borger Babyland","35.6559236","-101.38065719999997","REGION 16 EDUCATION SERVICE CENTER
5800 Bell St
Amarillo, TX 79109-6230
(806)677-5300
","06CH10104","200","Early Head Start","Early Head Start","REGION 16 EDUCATION SERVICE CENTER","","5800 Bell St ","Amarillo","TX","79109-6230","(806) 274-5306","107 Union St","Borger","TX","79007-6019","57348"
"JP Cowen Early Childhood Center","32.4688742","-100.41611009999997","EDUCATION SERVICE CENTER REGION XIV
1850 HIGHWAY 351
ABILENE, TX 79601-4750
(325)675-8631
","06HP0024","200","Early Head Start","Early Head Start","EDUCATION SERVICE CENTER REGION XIV","","1850 HIGHWAY 351 ","ABILENE","TX","79601-4750","(325) 675-8631","700 W 4th St","Sweetwater","TX","79556-4321","54905"
"MET Early Head Start Cleveland","30.3412751","-95.07137739999996","Motivation Education & Training, Inc.
22551 Gene Campbell Blvd
New Caney, TX 77357-
(281)689-5544 - 223
","06CH10132","200","Early Head Start","Early Head Start","Motivation Education & Training, Inc.","","22551 Gene Campbell Blvd ","New Caney","TX","77357","(281) 659-1300","301 Sleepy Hollow Dr
Ste A","Cleveland","TX","77327-4399","57384"
"San Augustine Head Start/Early Head Start","31.5299029","-94.1060282","TRI-COUNTY COMMUNITY ACTION, INC
214 Nacogdoches St
Center, TX 75935-3854
(936)598-6315 - 17
","06CH7110","200","Early Head Start","Early Head Start","TRI-COUNTY COMMUNITY ACTION, INC","","214 Nacogdoches St ","Center","TX","75935-3854","(936) 598-6315","1012 Partin Rd","San Augustine","TX","75972-2000","41844"
"Klein","29.717406","-95.49490000000003","Neighborhood Centers Inc.
4500 Bissonnet, Suite 200
Bellaire, TX 77401-
(713)273-3211
","06CH7076","200","Early Head Start","Early Head Start","Neighborhood Centers Inc.","","4500 Bissonnet, Suite 200 ","Bellaire","TX","77401","(713) 988-6265","6447 Prestwood Dr","Houston","TX","77081-1105","33770"
"Cleburne HS/EHS","32.3590067","-97.3739596","CDI HS/North Texas, TX
548 Santa Fe Dr
Weatherford, TX 76086-6503
(682)253-4230
","90CH010440","200","Early Head Start","Early Head Start","CDI HS/North Texas, TX","","548 Santa Fe Dr ","Weatherford","TX","76086-6503","(817) 641-7808","515 Santa Fe St","Cleburne","TX","76031-4061","85457"
"Morales EHS Child Development Center","29.433757","-98.53292099999999","AVANCE-San Antonio, Inc.
3133 General Hudnell Dr
Ste 130
San Antonio, TX 78226-2027
(210)220-1788 - 223
","06HP0013","200","Early Head Start","Early Head Start","AVANCE-San Antonio, Inc.","","3133 General Hudnell Dr Ste 130","San Antonio","TX","78226-2027","(210) 433-6452","2910 Morales St","San Antonio","TX","78207-2424","54794"
"Lil' Precious Steps","33.5876545","-101.8097852","Texas Tech University
3315 E Broadway
Lubbock, TX 79403-6127
(806)765-2737
","06HP0032","200","Early Head Start","Early Head Start","Texas Tech University","","3315 E Broadway ","Lubbock","TX","79403-6127","(806) 762-2562","918 Zenith Ave","Lubbock","TX","79403-5549","82875"
"Seminole 3 Year Olds and EHS","32.717282609212596","-102.6414596622073","WEST TEXAS OPPORTUNITIES, INC
603 N 4th ST
Lamesa, TX 79331-
(806)872-2134
","06CH010419","200","Early Head Start","Early Head Start","WEST TEXAS OPPORTUNITIES, INC","","603 N 4th ST ","Lamesa","TX","79331","(432) 758-6366","311 SE Avenue C","Seminole","TX","79360-4445","84823"
"Northside","29.779384","-95.35692749999998","AVANCE Houston, Inc.
4281 Dacoma St
Houston, TX 77092-8607
(713)812-0033
","06CH10133","200","Early Head Start","Early Head Start","AVANCE Houston, Inc.","","4281 Dacoma St ","Houston","TX","77092-8607","","1209 James St","Houston","TX","77009-8433","57477"
"Circle Park EHS and CDC���������������������������������������������","32.777428","-97.353994","Child Care Associates
3000 E Belknap St
Fort Worth, TX 76111-4142
(817)838-8422 - 1500
","06CH10093","200","Early Head Start","Early Head Start","Child Care Associates","","3000 E Belknap St ","Fort Worth","TX","76111-4142","(817) 740-1101","1519 Circle Park Blvd","Fort Worth","TX","76164-8942","57307"
"Lamesa Early Head Start","32.7369283","-101.9445814","WEST TEXAS OPPORTUNITIES, INC
603 N 4th ST
Lamesa, TX 79331-
(806)872-2134
","06CH010419","200","Early Head Start","Early Head Start","WEST TEXAS OPPORTUNITIES, INC","","603 N 4th ST ","Lamesa","TX","79331","(806) 872-2270","NE 3rd","Lamesa","TX","79331","84820"
"North Fort Worth HS/EHS CCC","32.799204","-97.36001399999998","Child Care Associates
3000 E Belknap St
Fort Worth, TX 76111-4142
(817)838-8422 - 1500
","06CH10093","200","Early Head Start","Early Head Start","Child Care Associates","","3000 E Belknap St ","Fort Worth","TX","76111-4142","(817) 624-1381","901 NW 30th St","Fort Worth","TX","76106-5630","57310"
"L & M CHRISTIAN DAYCARE II","32.5367266","-94.39107130000002","REGION VII EDUCATION SERVICE CENTER
1909 N Longview St
Kilgore, TX 75662-6827
(903)988-7600
","06CH7140","200","Early Head Start","Early Head Start","REGION VII EDUCATION SERVICE CENTER","","1909 N Longview St ","Kilgore","TX","75662-6827","(903) 934-9577","1515 Martin Luther King Jr Blvd","Marshall","TX","75670-6549","47189"
"San Diego Annex Learning Center","27.7550944","-98.2449722","Community Action Corporation of South Texas
204 East 1st Street
P.O. Drawer 1820
Alice, TX 78333-1820
(361)664-0145 - 2025
","06CH010327","200","Early Head Start","Early Head Start","Community Action Corporation of South Texas","","204 East 1st Street P.O. Drawer 1820","Alice","TX","78333-1820","(361) 279-7900","609 W Labbe St","San Diego","TX","78384-3420","85528"
"Clint HS & EHS","31.5878511","-106.23331969999998","Education Service Center Region 19
11670 Chito Samaniego
El Paso, TX 79936-6956
(915)790-4610
","06CH7147","200","Early Head Start","Early Head Start","Education Service Center Region 19","","11670 Chito Samaniego ","El Paso","TX","79936-6956","(915) 791-4822","13100 Alameda Ave","Clint","TX","79836-6302","44706"
"Nolan Boyd, CDC","27.7543427","-98.06472629999996","Community Action Corporation of South Texas
204 East 1st Street
P.O. Drawer 1820
Alice, TX 78333-1820
(361)664-0145 - 2025
","06CH010327","200","Early Head Start","Early Head Start","Community Action Corporation of South Texas","","204 East 1st Street P.O. Drawer 1820","Alice","TX","78333-1820","(361) 668-3320","420 N Texas Blvd","Alice","TX","78332-5039","82368"
"EOAC Johnette Hicks Early Head Start","31.547731","-97.13353699999999","ECONOMIC OPPORTUNITIES ADVANCEMENT CORP OF PLNG REG XI
500 Franklin Avenue
Waco, TX 76701-2111
(254)753-0331 - 205
","06CH7109","200","Early Head Start","Early Head Start","ECONOMIC OPPORTUNITIES ADVANCEMENT CORP OF PLNG REG XI","","500 Franklin Avenue ","Waco","TX","76701-2111","(254) 754-5641","510 S 12th St","Waco","TX","76706-1712","41823"
"Opportunity School at Gratitude House","35.202628","-101.84281","REGION 16 EDUCATION SERVICE CENTER
5800 Bell St
Amarillo, TX 79109-6230
(806)677-5300
","06CH10104","200","Early Head Start","Early Head Start","REGION 16 EDUCATION SERVICE CENTER","","5800 Bell St ","Amarillo","TX","79109-6230","","1101 S Jackson St
Apt 19","Amarillo","TX","79101-4164","85916"
"Eagle Lake Child Development Center","29.587206","-96.33086800000001","Cen-Tex Family Services, Inc.
2402 North Main Street
Bastrop, TX 78602-1505
(512)303-7737 - 13
","06HP0008","200","Early Head Start","Early Head Start","Cen-Tex Family Services, Inc.","","2402 North Main Street ","Bastrop","TX","78602-1505","","200 Ice St","Eagle Lake","TX","77434-1914","54852"
"Belton Central Early Head Start","31.059100893672692","-97.45733920237728","Central Texas 4C, Inc.
504 N 5th St
Temple, TX 76501-3112
(254)778-0489 - 116
","06CH7189","200","Early Head Start","Early Head Start","Central Texas 4C, Inc.","","504 N 5th St ","Temple","TX","76501-3112","(254) 933-2231","407 N Blair","Belton","TX","76513","51400"
"Early Head Start","29.779358","-95.32026300000001","GULF COAST COMMUNITY SERVICES ASSOCIATION
9320 Kirby Drive
Houston, TX 77054-
(713)393-4728
","06CH7125","200","Early Head Start","Early Head Start","GULF COAST COMMUNITY SERVICES ASSOCIATION","","9320 Kirby Drive ","Houston","TX","77054","(713) 222-7284","2020 Solo St","Houston","TX","77020-4224","42518"
"La Coma Head Start/Early Head Start Center","26.372863","-98.800724","TEXAS MIGRANT COUNCIL
5215 McPherson Rd
Laredo, TX 78041-7326
(956)487-2600
","06CH7181","200","Early Head Start","Early Head Start","TEXAS MIGRANT COUNCIL","","5215 McPherson Rd ","Laredo","TX","78041-7326","(956) 488-2200","1409 W Canales Brothers Ave","Rio Grande City","TX","78582","52864"
"Lawson Early Childhood Center","33.2022525","-96.64651700000002","REGION 10 EDUCATION SERVICE CENTER
400 East Spring Valley Road
Richardson, TX 75081-
(972)348-1600
","06CH7092","200","Early Head Start","Early Head Start","REGION 10 EDUCATION SERVICE CENTER","","400 East Spring Valley Road ","Richardson","TX","75081","(469) 302-2432","500 Dowell St","McKinney","TX","75071-5086","35206"
"Losoya Early Learning Center","29.224985","-98.47583399999996","PARENT & CHILD INC.
1223 Brady Blvd
San Antonio, TX 78207-7926
(210)475-5006
","06CH7178","200","Early Head Start","Early Head Start","PARENT & CHILD INC.","","1223 Brady Blvd ","San Antonio","TX","78207-7926","","19810 Hwy 281 South","San Antonio","TX","78221","52838"
"Windham Head Start/ Early Head Start Center","33.1891801","-101.38867859999999","South Plains Community Action Association, Inc.
411 Austin St
Levelland, TX 79336-4733
(806)894-2207 - 8
","06CH010433","200","Early Head Start","Early Head Start","South Plains Community Action Association, Inc.","","411 Austin St ","Levelland","TX","79336-4733","(806) 495-2544","206 S Avenue E
P.O. Box 610 Levelland, TX 79336","Post","TX","79356-3438","84809"
"Burkburnett Center","34.1001616","-98.5805277","North Texas Parent & Child Development, Inc
500 Flood Street
Wichita Falls, TX 76301-2838
(940)687-5437
","06CH7190","200","Early Head Start","Early Head Start","North Texas Parent & Child Development, Inc","","500 Flood Street ","Wichita Falls","TX","76301-2838","(940) 569-1411","600 W 7th St","Burkburnett","TX","76354-1924","49752"
"Barcelona HS","31.764512631961775","-106.42969309444277","Education Service Center Region 19
11670 Chito Samaniego
El Paso, TX 79936-6956
(915)790-4610
","06CH7147","200","Early Head Start","Early Head Start","Education Service Center Region 19","","11670 Chito Samaniego ","El Paso","TX","79936-6956","(915) 791-4801","328 Barcelona Dr","El Paso","TX","79905-4534","49520"
"Elgin Child Development Center","30.352681","-97.37041199999999","CEN-TEX FAMILY SERVICES INC
2402 N. Main Street
BASTROP, TX 78602-
(512)303-7737
","06CH7105","200","Early Head Start","Early Head Start","CEN-TEX FAMILY SERVICES INC","","2402 N. Main Street ","BASTROP","TX","78602","(512) 285-4022","1002 N Avenue C","Elgin","TX","78621-2124","39811"
"Rio Hondo Head Start/ Early Head Start","26.2305796","-97.58265670000003","NEIGHBORS IN NEED OF SERVICES, INC
402 West Robertson
San Benito, TX 78586-0047
(956)399-9944 - 305
","06CH7170","200","Early Head Start","Early Head Start","NEIGHBORS IN NEED OF SERVICES, INC","","402 West Robertson ","San Benito","TX","78586-0047","(956) 748-2863","609 S Reynolds","Rio Hondo","TX","78583-3223","53880"
"Stephenville EHS","32.2112766","-98.1957565","CDI HS/North Texas, TX
548 Santa Fe Dr
Weatherford, TX 76086-6503
(682)253-4230
","90CH010440","200","Early Head Start","Early Head Start","CDI HS/North Texas, TX","","548 Santa Fe Dr ","Weatherford","TX","76086-6503","(254) 965-5582","1010 S Graham St","Stephenville","TX","76401-5300","85610"
"Blessed Sacrament Academy","29.3855627","-98.4909887","City of San Antonio
106 S ST MARY'S ST, SUITE 700
SAN ANTONIO, TX 78205-3603
(210)206-5500
","06HP0019","200","Early Head Start","Early Head Start","City of San Antonio","","106 S ST MARY'S ST, SUITE 700 ","SAN ANTONIO","TX","78205-3603","(210) 532-5363","1135 Mission Rd","San Antonio","TX","78210-4505","86329"
"Isaac Camacho HS","31.8414363","-106.4341283","Education Service Center Region 19
11670 Chito Samaniego
El Paso, TX 79936-6956
(915)790-4610
","06CH7147","200","Early Head Start","Early Head Start","Education Service Center Region 19","","11670 Chito Samaniego ","El Paso","TX","79936-6956","(915) 791-4833","4201 Ellerthorpe Ave","El Paso","TX","79904-4300","44707"
"Hays High School PEP Program","30.0421171","-97.88518160000001","Community Action, Inc. of Central Texas
101 Uhland Rd
Ste 107
San Marcos, TX 78666-6681
(512)396-3395 - 228
","06CH7072","200","Early Head Start","Early Head Start","Community Action, Inc. of Central Texas","","101 Uhland Rd Ste 107","San Marcos","TX","78666-6681","(1) 512-268","4800 Jack C Hays Trl","Buda","TX","78610-9361","33699"
"Healy Murphy","29.4276487","-98.482001","City of San Antonio
106 S ST MARY'S ST, SUITE 700
SAN ANTONIO, TX 78205-3603
(210)206-5500
","06HP0019","200","Early Head Start","Early Head Start","City of San Antonio","","106 S ST MARY'S ST, SUITE 700 ","SAN ANTONIO","TX","78205-3603","(210) 224-9569","122 Nolan St","San Antonio","TX","78202","58009"
"San Elizario HS & EHS","31.567613487453208","-106.2466097917877","Education Service Center Region 19
11670 Chito Samaniego
El Paso, TX 79936-6956
(915)790-4610
","06CH7147","200","Early Head Start","Early Head Start","Education Service Center Region 19","","11670 Chito Samaniego ","El Paso","TX","79936-6956","(915) 791-4866","13705 Socorro Rd","San Elizario","TX","79849","44703"
"Anahuac EHS","29.7722069","-94.6751881","Motivation Education & Training, Inc.
22551 Gene Campbell Blvd
New Caney, TX 77357-
(281)689-5544 - 223
","06HP0016","200","Early Head Start","Early Head Start","Motivation Education & Training, Inc.","","22551 Gene Campbell Blvd ","New Caney","TX","77357","(409) 267-3333","1001 Willcox","Anahuac","TX","77514","82107"
"Courts of Las Palomas","27.492628","-97.86064999999996","Community Action Corporation of South Texas
204 East 1st Street
P.O. Drawer 1820
Alice, TX 78333-1820
(361)664-0145 - 2025
","06CH010327","200","Early Head Start","Early Head Start","Community Action Corporation of South Texas","","204 East 1st Street P.O. Drawer 1820","Alice","TX","78333-1820","(361) 516-0667","600 General Cavazos Blvd","Kingsville","TX","78363-7204","82402"
"Center for New Communities Family Learning Center @ Tynan","29.426467","-98.44637499999999","Center for New Communities
1313 Guadalupe St
Ste 200
San Antonio, TX 78207-5555
(210)314-3200
","06CH7186","200","Early Head Start","Early Head Start","Center for New Communities","","1313 Guadalupe St Ste 200","San Antonio","TX","78207-5555","(210) 314-3200","925 Gulf","San Antonio","TX","78202-3266","52374"
"Kruse EHS","29.7071481","-95.2084279","AVANCE Houston, Inc.
4281 Dacoma St
Houston, TX 77092-8607
(713)812-0033
","06CH10133","200","Early Head Start","Early Head Start","AVANCE Houston, Inc.","","4281 Dacoma St ","Houston","TX","77092-8607","(713) 534-0350","400 Park Lane","Pasadena","TX","77506","57472"
"World of Knowledge Early Learning Center - Partnership","29.435144","-98.57181700000001","Parent Child Incorporated
1223 Brady Boulevard
San Antonio, TX 78207-7328
(210)475-5006
","06HP0001","200","Early Head Start","Early Head Start","Parent Child Incorporated","","1223 Brady Boulevard ","San Antonio","TX","78207-7328","","143 NW 36th St
Ste 2001","San Antonio","TX","78237-1283","59016"
"Archer City Early Head Start Child Development Center","33.5881108","-98.630303","Rolling Plains Management Corporation
118 N 1st Street
Crowell, TX 79227-
(940)684-1571 - 230
","06HP0018","200","Early Head Start","Early Head Start","Rolling Plains Management Corporation","","118 N 1st Street ","Crowell","TX","79227","(940) 574-4043","704 South Ash Street","Archer City","TX","76351","81175"
"Burnet Head Start","30.76837759999999","-98.22801749999996","OPPORTUNITIES FOR WILLIAMSON AND BURNET COUNTIES
604 High Tech Drive
Georgetown, TX 78626-
(512)763-1400 - 37
","06CH7173","200","Early Head Start","Early Head Start","OPPORTUNITIES FOR WILLIAMSON AND BURNET COUNTIES","","604 High Tech Drive ","Georgetown","TX","78626","(1) 512-756","803 N Vanderveer St","Burnet","TX","78611-1812","49733"
"Upbring Early Head Start and Head Start Bay City","28.9713223","-95.9804951","Lutheran Social Service of the South, Inc.
8305 Cross Park Dr
Austin, TX 78754-5154
(512)638-5817
","06CH10129","200","Early Head Start","Early Head Start","Lutheran Social Service of the South, Inc.","","8305 Cross Park Dr ","Austin","TX","78754-5154","(979) 557-2788","3008 Le Tulle Ave","Bay City","TX","77414-7043","83026"
"AYW","30.2157353","-97.74654249999998","CHILD, INC
818 East 53rd Street
Austin, TX 78751-2212
(512)451-7361 - 228
","06CH7108","200","Early Head Start","Early Head Start","CHILD, INC","","818 East 53rd Street ","Austin","TX","78751-2212","(512) 744-1919","1911 E Ben White Blvd","Austin","TX","78741-7853","41799"
"Regency Square EHS","29.7151292819993","-95.5103253087372","Neighborhood Centers Inc.
4500 Bissonnet Suite 200
Bellaire, TX 77401-3113
(713)273-3211
","06HP0015","200","Early Head Start","Early Head Start","Neighborhood Centers Inc.","","4500 Bissonnet Suite 200 ","Bellaire","TX","77401-3113","(713) 273-3211","7207 Regency Square Blvd","Houston","TX","77036-3188","85979"
"Tegeler  EHS","29.6377925","-95.18141830000002","AVANCE Houston, Inc.
4281 Dacoma St
Houston, TX 77092-8607
(713)812-0033
","06CH10133","200","Early Head Start","Early Head Start","AVANCE Houston, Inc.","","4281 Dacoma St ","Houston","TX","77092-8607","(713) 740-0412","4949 Burke Rd","Pasadena","TX","77504-4019","57474"
"Loma Learning Center","27.7446794","-98.06980190000002","Community Action Corporation of South Texas
204 East 1st Street
P.O. Drawer 1820
Alice, TX 78333-1820
(361)664-0145 - 2025
","06CH010327","200","Early Head Start","Early Head Start","Community Action Corporation of South Texas","","204 East 1st Street P.O. Drawer 1820","Alice","TX","78333-1820","(361) 396-0025","702 Loma St","Alice","TX","78332-5947","85476"
"Creative Zones","34.1935001","-101.68319309999998","South Plains Community Action Association, Inc.
411 Austin St
Levelland, TX 79336-4733
(806)894-2207 - 8
","06CH010433","200","Early Head Start","Early Head Start","South Plains Community Action Association, Inc.","","411 Austin St ","Levelland","TX","79336-4733","(806) 293-8014","1106 El Camino St
P.O. Box 610 Levelland, TX 79336","Plainview","TX","79072-5708","84810"
"Mary Jo Gordon Child Development Center Early Head Start","31.2911717","-94.7314907","TRI-COUNTY COMMUNITY ACTION, INC
214 Nacogdoches St
Center, TX 75935-3854
(936)598-6315 - 17
","06CH7110","200","Early Head Start","Early Head Start","TRI-COUNTY COMMUNITY ACTION, INC","","214 Nacogdoches St ","Center","TX","75935-3854","(936) 634-3395","3402 Daniel McCall Dr","Lufkin","TX","75904-7186","41846"
"Lackland Village Early Head Start Center","29.4159202","-98.64998270000001","Family Service Association of San Antonio, Inc.
702 San Pedro Avenue
San Antonio, TX 78212-4610
(210)299-2704
","06HP0002","200","Early Head Start","Early Head Start","Family Service Association of San Antonio, Inc.","","702 San Pedro Avenue ","San Antonio","TX","78212-4610","(210) 673-3762","1739 SW Loop 410
Ste 301","San Antonio","TX","78227-1668","54531"
"Sierra Vista","27.4460118","-99.47307790000002","Webb County Commissioners
102 Sierra Vista Blvd
Laredo, TX 78046-7761
(956)286-2473
","06CH7137","200","Early Head Start","Early Head Start","Webb County Commissioners","","102 Sierra Vista Blvd ","Laredo","TX","78046-7761","(956) 795-1515","102 Sierra Vista Blvd","Laredo","TX","78046-7761","47100"
"Kool Kids Daycare","29.6507826","-95.2042483","Harris County Department of Education
6300 Irvington Blvd.
Houston, TX 77022-5618
(713)672-9343
","06HP0028","200","Early Head Start","Early Head Start","Harris County Department of Education","","6300 Irvington Blvd. ","Houston","TX","77022-5618","(832) 755-7889","602 Fairmont Pkwy","Pasadena","TX","77504-2802","83186"
"Browne Head Start/Early Head Start","25.89541179303374","-97.38981285276492","NEIGHBORS IN NEED OF SERVICES, INC
402 West Robertson
San Benito, TX 78586-0047
(956)399-9944 - 305
","06CH7170","200","Early Head Start","Early Head Start","NEIGHBORS IN NEED OF SERVICES, INC","","402 West Robertson ","San Benito","TX","78586-0047","(956) 838-0088","9901 California Rd","Brownsville","TX","78521-6135","53883"
"Boone Elementary Early Head Start Center","29.551152","-98.61805500000003","Family Service Association of San Antonio, Inc.
702 San Pedro Avenue
San Antonio, TX 78212-4610
(210)299-2704
","06HP0002","200","Early Head Start","Early Head Start","Family Service Association of San Antonio, Inc.","","702 San Pedro Avenue ","San Antonio","TX","78212-4610","(210) 397-1494","6614 Spring Time St","San Antonio","TX","78249-2702","54530"
"Early Head Start/Head Start @ Lakewest","32.786571","-96.85812999999996","HEADSTART OF GREATER DALLAS INC
3954 Gannon Lane
Dallas, TX 75237-2919
(972)283-6400
","06CH7106","200","Early Head Start","Early Head Start","HEADSTART OF GREATER DALLAS INC","","3954 Gannon Lane ","Dallas","TX","75237-2919","(214) 267-0524","3737 Goldman St
Suite 100, Building B","Dallas","TX","75212-2471","40195"
